age,gender,height_cm,weight_kg,activity_level,goal,diet_type,budget_rs,workout_time_min,daily_calories
25,0,162,75,1,0,1,149,18,1637.5
18,0,165,77,3,2,1,190,76,1311.25
29,1,158,83,3,1,2,214,18,1477.5
25,1,161,74,4,1,0,156,55,1426.25
25,1,187,90,5,0,2,117,87,1948.75
28,0,168,81,3,2,1,371,69,1320.0
20,0,156,72,4,2,1,229,42,1195.0
18,0,184,75,5,0,0,368,61,1810.0
25,1,167,55,1,1,0,179,23,1273.75
20,0,165,67,4,1,1,398,16,1401.25
20,0,188,46,5,2,1,301,81,1135.0
18,1,153,84,4,2,2,324,62,1311.25
28,1,174,85,3,2,1,258,83,1402.5
22,1,181,71,2,2,2,303,88,1336.25
27,1,189,79,1,2,0,236,42,1441.25
24,1,162,46,3,1,2,172,28,1157.5
27,0,166,83,3,1,1,147,60,1532.5
26,1,186,81,5,1,2,117,27,1647.5
29,0,155,65,4,1,2,366,30,1273.75
24,0,168,49,1,0,0,118,54,1420.0
26,1,162,89,3,1,2,199,86,1577.5
25,1,175,65,5,0,1,215,44,1623.75
29,1,163,73,1,1,2,173,79,1408.75
19,0,180,64,4,2,2,379,72,1270.0
18,1,153,82,3,2,2,368,62,1291.25
24,1,188,64,3,2,1,224,63,1300.0
24,1,157,94,3,0,2,215,16,1806.25
25,1,174,69,1,1,1,273,28,1457.5
22,1,162,46,1,1,2,280,31,1167.5
20,0,181,76,1,0,0,325,45,1791.25
29,0,187,70,1,0,0,256,24,1723.75
25,0,187,50,5,0,0,263,84,1543.75
23,1,177,85,2,0,1,170,51,1846.25
28,1,179,47,5,0,1,321,78,1453.75
20,1,152,77,3,2,1,225,44,1225.0
18,0,177,45,5,1,2,244,48,1266.25
20,1,152,49,4,0,1,275,32,1345.0
22,1,183,57,1,2,1,251,77,1208.75
20,1,165,63,4,0,1,281,63,1566.25
18,0,171,56,4,2,1,184,70,1138.75
22,1,181,92,3,0,0,220,72,1946.25
27,0,187,69,1,1,2,228,41,1523.75
24,1,157,79,4,0,0,105,69,1656.25
24,0,157,56,3,0,2,282,33,1421.25
28,0,155,74,1,1,2,137,37,1368.75
26,0,163,49,2,1,0,215,61,1178.75
27,1,181,78,3,0,1,201,80,1781.25
27,1,184,66,5,1,0,107,65,1480.0
29,0,159,83,1,1,2,317,42,1478.75
20,0,152,57,4,2,2,306,71,1020.0
24,1,161,91,4,1,1,177,72,1601.25
18,1,180,47,5,1,0,154,29,1310.0
21,0,178,64,5,0,2,327,30,1647.5
21,1,154,75,4,0,0,187,61,1612.5
22,1,174,49,1,2,1,109,77,1072.5
24,1,180,68,3,0,1,389,26,1690.0
24,1,170,84,5,1,2,263,57,1587.5
28,0,169,77,5,1,1,338,43,1486.25
21,1,188,52,5,1,2,243,63,1395.0
24,1,171,68,2,0,2,117,17,1633.75
28,0,153,94,1,1,1,170,83,1556.25
20,0,162,64,1,1,1,274,74,1352.5
23,1,169,60,1,2,0,387,80,1146.25
29,1,162,94,1,2,0,398,40,1412.5
19,1,166,56,1,2,2,347,85,1107.5
27,1,185,57,4,0,0,292,88,1596.25
26,0,182,89,5,1,2,367,83,1697.5
22,0,150,86,4,1,1,303,61,1487.5
23,0,164,83,2,1,1,222,56,1540.0
29,1,162,69,3,2,0,157,45,1162.5
29,1,166,90,5,1,2,300,36,1597.5
29,1,173,76,2,1,2,211,31,1501.25
29,1,157,68,4,1,0,227,34,1321.25
21,0,176,92,3,1,2,135,22,1715.0
28,0,172,91,2,1,2,333,63,1645.0
27,1,157,88,3,0,1,146,52,1731.25
24,0,157,53,2,1,2,214,67,1191.25
29,1,175,84,4,0,2,354,42,1793.75
26,1,162,94,3,1,2,322,43,1627.5
24,0,188,67,2,0,0,223,86,1725.0
18,1,186,94,4,1,0,259,25,1817.5
18,1,177,57,5,1,0,195,61,1391.25
26,0,174,76,4,1,2,206,59,1517.5
28,1,165,94,4,1,2,219,32,1636.25
26,1,151,59,5,2,0,200,64,1008.75
21,0,167,80,4,1,0,202,63,1538.75
26,1,166,93,5,0,2,265,36,1842.5
20,0,179,49,5,2,2,285,59,1108.75
24,1,188,66,5,2,1,131,75,1320.0
23,0,162,60,2,1,0,165,35,1297.5
25,0,181,85,3,0,2,278,85,1856.25
28,0,178,54,2,0,0,366,75,1512.5
26,1,179,68,5,2,0,136,50,1273.75
22,0,167,62,3,0,0,300,38,1553.75
18,0,162,93,3,1,1,148,46,1652.5
20,0,170,62,5,1,2,374,73,1382.5
27,0,179,51,3,1,2,267,89,1293.75
29,0,170,48,3,1,0,362,19,1197.5
25,1,166,70,2,1,2,232,30,1417.5
28,1,189,49,3,2,1,397,25,1136.25
23,1,168,60,5,1,0,275,49,1340.0
25,1,164,79,1,1,1,110,89,1495.0
26,1,158,70,1,2,1,300,56,1162.5
21,1,159,62,1,2,2,396,24,1113.75
18,1,180,73,5,2,2,102,22,1370.0
18,0,172,67,1,0,1,313,40,1655.0
27,1,179,58,2,0,2,395,17,1568.75
21,0,182,59,5,1,1,131,73,1422.5
29,0,158,93,5,1,1,147,17,1572.5
24,1,150,77,5,1,0,351,52,1392.5
19,0,184,69,3,0,1,298,16,1745.0
20,0,160,65,3,1,1,188,31,1350.0
18,0,183,61,3,1,2,208,87,1463.75
22,0,165,67,4,0,0,390,50,1591.25
18,1,158,87,2,2,2,207,87,1372.5
25,1,181,61,5,0,0,139,16,1621.25
18,1,164,58,5,1,2,151,48,1320.0
28,1,161,73,3,0,1,211,41,1601.25
18,1,182,64,5,2,0,394,51,1292.5
19,1,163,74,5,2,0,167,85,1268.75
19,1,157,63,1,2,0,288,36,1121.25
29,1,157,83,5,2,0,308,82,1271.25
23,1,176,57,4,2,2,164,28,1160.0
24,1,161,62,3,2,2,161,37,1111.25
22,0,150,67,2,1,0,357,58,1297.5
18,1,189,90,2,1,0,233,79,1796.25
18,0,160,77,1,0,0,221,75,1680.0
20,0,188,83,2,1,2,270,69,1705.0
19,0,180,84,2,2,0,309,85,1470.0
22,0,166,62,3,1,0,395,64,1347.5
29,1,182,53,3,0,0,188,26,1527.5
27,0,181,77,4,2,2,266,29,1366.25
23,1,178,76,1,1,1,127,31,1562.5
24,1,170,61,2,1,1,337,48,1357.5
21,0,170,63,4,0,2,162,49,1587.5
24,1,189,71,1,2,1,354,53,1376.25
28,0,172,50,2,0,0,140,69,1435.0
25,0,155,79,2,2,0,128,73,1233.75
28,1,171,81,3,2,2,378,19,1343.75
18,1,187,78,5,1,2,179,44,1663.75
23,0,186,64,1,0,1,150,18,1687.5
25,1,157,69,2,0,1,211,29,1551.25
22,1,184,48,1,0,0,189,49,1525.0
21,1,160,54,4,2,2,328,88,1040.0
19,0,173,54,4,0,1,249,69,1526.25
23,0,170,68,5,2,1,342,80,1227.5
23,1,151,65,2,0,0,237,74,1483.75
28,1,189,55,3,0,0,234,38,1596.25
18,1,168,71,2,1,0,188,36,1475.0
26,1,188,60,1,0,0,114,58,1650.0
29,1,177,70,4,1,1,273,46,1466.25
28,0,166,74,1,1,2,189,65,1437.5
23,1,155,93,5,2,2,312,17,1388.75
20,0,168,60,4,0,0,160,84,1550.0
21,1,187,51,3,0,0,319,46,1578.75
29,0,177,60,4,0,1,160,16,1561.25
28,1,151,79,2,1,0,265,73,1398.75
21,0,187,60,2,0,2,111,87,1663.75
20,1,186,84,4,2,0,315,28,1507.5
27,0,153,56,5,2,2,176,65,981.25
20,0,171,79,2,0,0,331,25,1758.75
20,0,175,93,2,1,0,211,24,1723.75
21,0,185,65,3,2,2,165,72,1301.25
24,0,162,94,4,2,1,281,48,1432.5
21,0,181,87,2,1,1,303,67,1696.25
26,1,166,80,5,2,0,305,42,1312.5
18,0,185,92,1,1,0,385,32,1786.25
25,1,168,61,4,2,2,204,40,1140.0
24,1,184,76,3,1,2,341,21,1595.0
19,1,189,85,2,2,0,334,59,1541.25
25,1,177,50,5,0,2,275,59,1486.25
18,1,150,68,4,2,1,310,85,1132.5
28,0,167,71,5,2,1,130,49,1213.75
29,0,189,64,5,0,2,334,66,1676.25
26,0,182,69,3,0,2,341,35,1697.5
26,1,161,46,4,0,2,252,42,1341.25
19,0,157,53,2,0,1,295,58,1416.25
24,0,173,72,3,1,0,368,70,1481.25
27,0,165,82,2,1,2,269,24,1516.25
20,0,153,47,1,2,2,331,37,926.25
24,0,187,64,5,2,2,283,62,1288.75
29,1,176,50,1,2,0,374,66,1060.0
27,0,158,83,5,1,2,131,29,1482.5
26,1,165,77,3,2,2,276,69,1276.25
21,1,161,45,2,2,1,164,57,956.25
29,1,180,81,2,1,2,297,64,1595.0
18,1,173,50,3,2,1,126,20,1096.25
19,1,163,89,4,1,0,250,47,1618.75
18,0,174,78,1,1,2,367,76,1577.5
29,0,183,91,1,0,2,184,69,1908.75
22,0,152,59,2,0,1,165,53,1430.0
22,1,173,89,2,1,0,232,26,1666.25
28,0,158,70,2,1,0,181,45,1347.5
24,0,175,58,3,0,1,197,88,1553.75
26,1,169,51,4,2,0,172,67,1041.25
26,1,189,90,1,2,0,129,48,1556.25
20,1,159,75,5,2,0,224,55,1248.75
20,1,168,68,3,1,0,309,24,1435.0
20,0,152,75,1,0,0,371,66,1600.0
21,1,173,73,4,2,0,312,89,1311.25
25,1,154,86,3,0,0,232,71,1702.5
23,0,152,76,1,0,0,256,17,1595.0
25,0,176,61,3,1,2,146,71,1385.0
18,1,165,58,1,2,1,121,47,1126.25
25,0,164,84,1,0,0,182,21,1740.0
21,1,184,80,4,1,1,333,18,1650.0
28,1,161,92,5,1,0,159,53,1591.25
18,0,175,68,4,1,0,287,62,1483.75
25,0,183,89,1,2,2,157,88,1508.75
21,1,172,71,3,2,1,358,30,1285.0
23,1,180,69,4,1,1,261,52,1505.0
25,1,169,76,5,2,2,101,18,1296.25
21,0,161,62,1,2,2,370,18,1121.25
20,1,172,90,4,0,1,242,41,1880.0
26,1,153,62,4,1,0,287,31,1251.25
20,1,172,81,4,1,0,323,84,1590.0
26,1,150,70,4,2,1,279,68,1112.5
19,1,174,53,3,1,0,122,22,1327.5
19,0,151,79,5,1,2,136,67,1438.75
19,1,179,52,5,1,2,206,19,1348.75
23,1,152,64,1,2,2,396,83,1080.0
20,1,170,86,2,2,1,328,61,1427.5
26,1,174,66,3,2,1,196,88,1222.5
21,0,169,63,1,0,1,380,54,1581.25
18,0,171,74,1,1,0,209,21,1518.75
21,0,170,72,4,0,1,136,26,1677.5
18,1,182,79,2,2,1,139,39,1442.5
22,1,187,87,2,0,2,184,42,1933.75
21,0,164,55,3,1,0,287,57,1270.0
25,0,164,75,2,1,0,339,61,1450.0
25,0,174,93,1,2,2,118,63,1492.5
24,1,170,92,2,2,0,360,68,1467.5
20,1,173,83,2,0,1,257,32,1816.25
18,0,154,80,5,2,0,211,41,1272.5
18,0,155,74,1,0,2,243,86,1618.75
29,0,172,67,2,1,0,355,20,1400.0
28,1,153,63,2,1,2,117,89,1251.25
20,1,176,56,4,1,1,283,83,1365.0
23,1,167,59,2,1,1,386,85,1323.75
24,0,170,75,2,1,2,230,36,1492.5
23,0,177,87,5,0,1,380,73,1861.25
23,1,184,81,1,1,1,344,61,1650.0
23,0,171,81,3,0,0,107,82,1763.75
20,1,189,59,1,1,1,292,46,1476.25
23,0,172,73,4,0,2,106,15,1690.0
25,0,152,94,1,0,1,235,68,1765.0
28,0,189,87,2,0,0,118,60,1911.25
28,0,159,70,4,2,2,238,55,1153.75
19,1,174,88,1,0,1,276,55,1877.5
22,0,157,46,4,0,1,110,22,1331.25
18,1,160,64,3,1,1,140,46,1355.0
29,1,154,59,1,0,2,213,44,1412.5
18,1,186,48,2,0,0,279,60,1557.5
22,0,187,66,4,2,2,293,66,1318.75
29,1,178,94,5,1,2,295,75,1712.5
20,1,154,82,4,2,0,324,27,1287.5
21,1,158,67,5,2,2,360,54,1157.5
20,0,151,70,2,2,2,215,75,1143.75
18,0,150,55,3,0,1,249,58,1397.5
18,1,189,72,5,2,2,217,76,1416.25
29,0,179,46,3,2,1,264,58,1033.75
29,1,160,52,4,1,2,351,62,1180.0
22,1,177,73,2,1,1,366,88,1531.25
23,0,161,55,5,1,1,143,73,1241.25
20,1,188,81,4,1,1,280,71,1690.0
29,0,175,62,1,2,0,176,25,1168.75
26,0,162,94,4,1,2,215,39,1622.5
22,1,157,58,3,0,2,166,75,1456.25
25,0,177,54,2,2,2,112,60,1121.25
18,0,179,79,2,1,0,191,68,1618.75
22,1,158,53,4,2,1,345,48,1012.5
20,1,188,79,1,1,2,366,21,1670.0
29,0,180,55,3,2,0,238,76,1130.0
18,0,170,88,4,1,0,343,71,1652.5
21,1,183,56,4,0,2,372,19,1603.75
22,0,180,47,2,1,1,290,49,1285.0
24,0,174,83,3,2,0,196,51,1397.5
18,0,161,58,1,2,2,304,74,1096.25
20,0,150,72,2,0,1,236,79,1557.5
19,0,171,55,4,2,0,176,30,1123.75
26,0,189,83,2,0,0,136,44,1881.25
27,0,186,69,2,2,2,385,87,1317.5
23,1,150,65,5,2,2,234,56,1077.5
27,1,150,54,2,0,1,241,75,1347.5
20,1,170,87,2,2,2,353,88,1437.5
25,1,164,59,3,2,2,147,62,1095.0
25,1,166,63,2,0,1,354,76,1547.5
19,0,171,92,1,1,2,233,78,1693.75
23,0,187,66,4,0,1,389,71,1713.75
24,0,184,65,3,2,1,307,82,1280.0
19,0,165,88,2,1,1,200,60,1616.25
28,1,157,76,1,1,2,145,42,1406.25
27,0,166,94,4,1,1,169,17,1642.5
19,0,166,67,3,0,2,235,51,1612.5
27,1,175,57,1,1,1,379,62,1333.75
18,0,162,49,2,1,2,166,33,1212.5
25,0,166,48,5,1,1,103,31,1192.5
18,1,187,72,5,2,0,323,54,1403.75
26,0,166,58,3,0,0,100,64,1487.5
28,0,163,52,1,0,0,389,87,1398.75
23,0,155,53,4,2,1,208,43,983.75
24,0,184,79,1,1,2,364,65,1620.0
27,0,163,81,5,2,1,162,56,1293.75
24,1,157,65,3,2,1,365,43,1116.25
27,1,164,62,2,1,1,237,80,1315.0
20,1,176,77,1,1,1,143,31,1575.0
19,1,162,52,5,0,2,361,45,1442.5
26,1,180,93,4,1,1,315,66,1730.0
25,1,184,61,3,2,0,220,53,1240.0
29,0,155,87,2,2,0,251,74,1293.75
27,1,154,75,1,1,0,312,65,1382.5
24,1,171,78,4,0,1,333,30,1733.75
26,0,172,50,2,2,2,210,28,1045.0
21,0,174,66,5,1,2,321,56,1442.5
21,1,183,58,5,0,2,325,65,1623.75
18,0,175,47,4,0,1,309,38,1473.75
25,1,154,56,5,2,2,170,57,1002.5
29,0,175,80,3,2,0,188,87,1348.75
20,1,169,56,4,0,2,361,33,1521.25
24,0,155,89,5,0,1,287,75,1738.75
29,0,155,46,1,0,1,211,77,1283.75
19,1,167,46,5,1,2,338,40,1213.75
19,1,153,59,3,2,1,355,49,1056.25
24,1,166,67,2,0,2,249,81,1592.5
23,1,163,73,2,2,2,226,70,1238.75
20,1,163,61,5,2,0,373,54,1133.75
26,0,162,76,2,2,1,238,43,1242.5
27,1,156,51,5,0,0,202,20,1355.0
23,1,164,74,3,1,1,341,66,1455.0
27,0,168,72,2,0,2,216,15,1635.0
27,0,184,58,1,2,1,313,66,1195.0
23,1,166,88,5,0,2,116,38,1807.5
18,0,184,74,2,0,1,278,48,1800.0
21,0,168,61,3,2,0,323,21,1155.0
27,1,169,76,3,2,0,369,89,1286.25
23,0,185,90,1,0,2,233,25,1941.25
23,0,184,50,3,0,0,213,50,1535.0
28,1,181,68,3,0,2,231,34,1676.25
29,1,189,50,2,0,2,238,77,1541.25
22,0,173,71,5,1,2,331,77,1481.25
18,0,166,62,4,0,1,191,83,1567.5
25,1,156,68,3,1,2,366,44,1335.0
22,0,150,81,3,2,0,198,44,1237.5
29,0,184,68,4,1,1,306,36,1485.0
29,0,181,82,3,2,0,107,75,1406.25
29,1,185,78,2,1,2,192,35,1596.25
22,0,162,84,2,2,2,257,51,1342.5
24,0,155,91,4,0,0,198,41,1758.75
21,1,163,59,3,1,1,324,49,1308.75
23,0,186,55,3,1,0,307,52,1397.5
21,0,164,66,5,2,2,172,74,1180.0
20,1,153,68,3,2,1,158,84,1141.25
24,1,189,45,2,1,2,386,46,1316.25
25,1,165,62,1,2,2,163,41,1131.25
21,1,177,88,1,0,0,355,17,1886.25
19,0,165,56,1,1,2,147,63,1296.25
29,0,153,87,1,0,0,378,44,1681.25
27,1,175,72,3,1,1,297,36,1483.75
20,1,177,84,3,0,2,257,33,1851.25
18,0,181,51,5,1,2,106,45,1351.25
25,1,151,67,3,2,1,347,34,1093.75
20,0,180,65,1,1,0,331,33,1475.0
29,1,152,78,4,0,2,205,16,1590.0
27,0,157,55,4,1,1,197,54,1196.25
24,1,173,66,2,0,2,367,53,1626.25
27,1,164,86,2,0,0,159,86,1755.0
22,0,180,79,3,0,0,239,68,1805.0
27,1,158,73,4,2,0,289,41,1187.5
22,0,188,86,1,1,0,224,26,1725.0
24,0,151,72,1,0,1,262,85,1543.75
26,0,157,62,1,2,2,159,31,1071.25
29,0,156,58,3,0,1,130,24,1410.0
22,0,188,62,3,1,0,175,33,1485.0
18,1,165,72,5,2,0,342,44,1266.25
27,1,184,68,1,0,0,357,44,1700.0
27,0,179,52,1,0,0,289,39,1503.75
18,1,159,86,3,0,2,395,88,1768.75
19,0,187,89,3,1,0,276,80,1763.75
23,1,167,52,5,2,2,387,49,1053.75
26,1,154,48,5,2,0,393,65,917.5
25,1,178,71,2,2,2,306,85,1302.5
22,1,188,80,4,0,2,314,85,1870.0
18,0,183,49,1,2,0,240,41,1143.75
24,0,172,77,1,0,1,184,24,1725.0
22,1,154,93,5,1,1,281,57,1587.5
23,1,179,78,5,2,1,227,69,1388.75
24,0,155,74,2,0,1,368,85,1588.75
20,1,153,52,4,2,1,138,20,981.25
29,0,178,83,2,2,0,122,20,1397.5
27,0,172,91,4,1,0,341,62,1650.0
20,0,155,70,1,2,0,206,16,1168.75
22,1,181,81,2,1,0,241,65,1636.25
23,0,167,78,5,2,0,244,75,1308.75
26,1,164,51,2,2,0,379,33,1010.0
29,0,189,84,2,2,2,344,16,1476.25
22,1,181,72,1,2,2,290,65,1346.25
18,1,158,83,5,2,0,389,40,1332.5
21,1,186,83,5,2,0,278,84,1492.5
22,0,159,72,3,1,2,211,34,1403.75
29,0,169,58,3,1,2,313,37,1291.25
27,1,155,94,3,0,0,237,68,1778.75
27,1,152,82,1,2,2,299,29,1240.0
22,1,160,48,2,1,1,106,20,1175.0
24,0,166,86,5,2,1,112,49,1377.5
21,0,181,62,5,2,1,179,89,1246.25
18,0,153,88,2,1,2,385,22,1546.25
22,0,153,92,5,2,0,258,71,1366.25
24,1,166,69,2,1,0,371,64,1412.5
27,1,168,51,1,1,0,300,63,1230.0
27,0,154,82,1,0,2,249,35,1647.5
23,0,181,72,1,0,2,395,50,1736.25
22,1,171,49,2,0,1,392,85,1453.75
21,0,155,47,2,0,2,371,83,1333.75
19,0,184,88,4,2,1,142,72,1535.0
21,0,171,75,5,2,1,114,77,1313.75
27,0,150,91,5,0,0,347,30,1712.5
27,0,169,86,4,1,2,271,20,1581.25
20,0,171,64,4,1,0,317,66,1408.75
27,1,160,63,1,1,0,236,16,1300.0
18,0,162,92,4,1,2,326,32,1642.5
25,0,152,55,2,2,2,143,49,975.0
22,1,158,84,3,1,1,119,53,1522.5
21,1,161,47,2,1,1,218,15,1176.25
25,1,172,67,4,0,1,333,51,1625.0
24,0,163,51,5,1,1,361,35,1208.75
19,1,182,67,2,2,0,182,15,1317.5
18,0,167,51,5,1,0,130,18,1263.75
29,0,158,90,2,1,2,373,72,1542.5
28,0,172,78,5,2,1,333,15,1315.0
21,1,159,86,2,0,1,127,27,1753.75
25,1,168,63,5,2,1,351,60,1160.0
29,1,154,53,3,0,0,352,61,1352.5
19,1,172,92,1,1,2,338,21,1705.0
20,1,179,62,2,0,0,274,65,1643.75
29,0,174,85,3,0,2,293,17,1792.5
18,0,177,92,1,0,2,279,64,1936.25
18,0,183,89,2,1,0,394,40,1743.75
20,0,174,86,3,0,0,314,45,1847.5
28,1,159,69,3,0,2,302,76,1548.75
22,1,163,58,3,1,0,349,40,1293.75
29,0,179,88,4,2,0,356,81,1453.75
20,1,174,69,5,2,2,174,69,1282.5
18,1,163,63,1,2,2,301,42,1163.75
18,0,184,83,5,1,1,241,58,1690.0
25,0,183,59,5,1,0,305,52,1408.75
27,1,159,60,5,2,2,298,44,1063.75
28,1,184,71,3,0,0,270,80,1725.0
29,0,160,84,5,2,0,327,22,1295.0
29,0,160,54,4,1,2,278,28,1195.0
19,0,170,48,2,0,1,374,76,1447.5
20,1,170,63,3,0,2,161,89,1597.5
19,0,171,72,1,1,2,303,77,1493.75
20,0,156,65,2,0,0,232,80,1525.0
24,1,166,91,2,2,1,171,54,1432.5
18,1,151,58,2,1,2,177,27,1238.75
27,1,161,77,5,1,0,288,31,1446.25
25,1,167,92,5,1,2,170,29,1643.75
27,1,160,54,3,1,0,362,47,1210.0
27,0,165,63,5,0,2,145,30,1526.25
27,0,167,74,5,1,1,323,27,1448.75
19,1,184,66,5,1,2,349,37,1520.0
20,1,175,47,3,0,0,175,50,1468.75
26,1,165,81,3,1,2,173,57,1516.25
24,1,155,85,4,0,1,241,64,1703.75
21,1,161,62,4,0,1,172,88,1526.25
27,0,162,55,4,1,1,201,27,1227.5
22,0,153,92,4,2,1,193,44,1366.25
19,0,188,46,2,1,0,168,71,1340.0
28,0,151,56,2,2,2,164,44,963.75
25,1,175,50,4,0,1,292,85,1473.75
21,0,176,87,4,2,2,161,24,1465.0
26,1,176,84,1,1,0,119,80,1615.0
22,1,164,88,2,1,2,340,53,1600.0
26,1,157,73,1,2,2,302,51,1186.25
21,0,156,74,1,1,1,399,17,1410.0
27,1,189,46,5,2,1,294,48,1111.25
22,0,161,53,3,0,0,161,52,1426.25
26,0,162,91,2,2,2,206,28,1392.5
25,1,166,46,4,2,0,224,78,977.5
20,1,166,73,4,2,0,366,53,1272.5
18,1,185,77,3,2,0,301,68,1441.25
20,0,170,54,2,0,1,261,16,1502.5
21,1,157,78,4,0,1,211,57,1661.25
19,0,154,88,4,0,2,131,67,1747.5
18,1,175,52,5,2,2,197,17,1128.75
24,1,165,81,1,0,2,346,55,1726.25
25,0,185,77,4,1,1,360,22,1601.25
24,0,177,91,2,0,1,290,89,1896.25
22,0,178,50,3,2,0,128,77,1102.5
29,0,161,88,5,1,1,147,79,1541.25
18,0,186,84,2,2,0,349,18,1512.5
24,0,179,89,5,1,0,325,82,1688.75
24,1,172,63,1,2,1,371,24,1190.0
26,1,165,76,4,2,0,252,89,1266.25
20,0,163,71,2,1,0,384,64,1428.75
26,1,159,45,3,0,2,279,37,1318.75
18,0,156,87,1,1,0,252,75,1555.0
18,1,186,77,1,1,1,333,61,1647.5
21,1,178,84,5,1,1,122,17,1652.5
26,0,152,76,1,1,0,193,31,1380.0
23,0,164,49,2,1,2,344,36,1200.0
28,0,185,61,5,2,1,389,30,1226.25
